ÉfÅ[É^ÉRÅ[Éh,CO'TK99F1000601GCQ01000,CO'TK99F1000601GCQ01000,CO'TK99F1000601GCQ11000,CO'TK99F2000601GCQ01000,CO'TK99F2000601GCQ11000,CO'TK99F0000601GCQ01000,CO'TK99F0000601GCQ11000,CO'TK99F1000614GCQ01000,CO'TK99F1000614GCQ11000,CO'TK99F0000614GCQ01000,CO'TK99F0000614GCQ11000,CO'TK99F1000615GCQ01000,CO'TK99F1000615GCQ11000,CO'TK99F0000615GCQ01000,CO'TK99F0000615GCQ11000
ånóÒñºèÃ,"D.I./ã∆ãµ/ëÂäÈã∆/êªë¢ã∆/é¿ê—","D.I./ã∆ãµ/ëÂäÈã∆/êªë¢ã∆/é¿ê—","D.I./ã∆ãµ/ëÂäÈã∆/êªë¢ã∆/ó\ë™","D.I./ã∆ãµ/ëÂäÈã∆/îÒêªë¢ã∆/é¿ê—","D.I./ã∆ãµ/ëÂäÈã∆/îÒêªë¢ã∆/ó\ë™","D.I./ã∆ãµ/ëÂäÈã∆/ëSéYã∆/é¿ê—","D.I./ã∆ãµ/ëÂäÈã∆/ëSéYã∆/ó\ë™","D.I./îÃîÑâøäi/ëÂäÈã∆/êªë¢ã∆/é¿ê—","D.I./îÃîÑâøäi/ëÂäÈã∆/êªë¢ã∆/ó\ë™","D.I./îÃîÑâøäi/ëÂäÈã∆/ëSéYã∆/é¿ê—","D.I./îÃîÑâøäi/ëÂäÈã∆/ëSéYã∆/ó\ë™","D.I./édì¸âøäi/ëÂäÈã∆/êªë¢ã∆/é¿ê—","D.I./édì¸âøäi/ëÂäÈã∆/êªë¢ã∆/ó\ë™","D.I./édì¸âøäi/ëÂäÈã∆/ëSéYã∆/é¿ê—","D.I./édì¸âøäi/ëÂäÈã∆/ëSéYã∆/ó\ë™"
1983/03,-28,-28,-24,,,,,-23,-9,,,0,23,,
1983/06,-22,-22,-26,-6,,-15,,-17,-11,-12,,-3,5,-2,
1983/09,-15,-15,-14,-5,-4,-11,-10,-12,-5,-10,-3,-1,2,0,3
1983/12,-7,-7,-3,0,-1,-4,-2,-5,-3,-3,-2,7,10,5,9
1984/03,6,6,5,2,4,4,5,-4,-3,-3,-3,4,12,4,11
1984/06,14,14,12,7,8,11,10,-8,-6,-6,-3,2,11,3,11
1984/09,20,20,20,8,12,15,17,-7,-4,-4,-1,6,7,6,7
1984/12,22,22,22,11,12,17,18,-6,-3,-4,-1,1,8,3,10
1985/03,22,22,20,9,12,17,16,-8,-7,-6,-5,3,5,4,6
1985/06,18,18,20,12,10,15,16,-13,-12,-9,-7,2,5,2,7
1985/09,13,13,16,11,9,13,14,-17,-10,-12,-6,-5,3,-3,4
1985/12,5,5,11,11,11,7,11,-22,-14,-16,-8,-12,-2,-7,-1
1986/03,-4,-4,-2,8,9,0,2,-27,-18,-19,-13,-17,-9,-12,-5
1986/06,-12,-12,-4,11,6,-2,0,-37,-23,-27,-16,-30,-14,-24,-10
1986/09,-19,-19,-14,8,8,-8,-5,-42,-31,-37,-22,-35,-25,-31,-18
1986/12,-24,-24,-21,8,5,-11,-11,-42,-33,-36,-28,-35,-23,-30,-21
1987/03,-23,-23,-27,8,6,-11,-13,-37,-31,-32,-26,-22,-17,-19,-14
1987/06,-20,-20,-25,12,6,-7,-12,-33,-29,-27,-23,-15,-9,-13,-7
1987/09,-11,-11,-22,19,10,1,-9,-18,-27,-14,-22,-2,-7,-2,-6
1987/12,6,6,-8,26,18,14,3,-13,-12,-10,-9,6,9,6,8
